Id,Geography,MedianIncome
0500000US12119,"Sumter County, Florida",54771
0500000US12121,"Suwannee County, Florida",40600
0500000US12123,"Taylor County, Florida",37188
0500000US12125,"Union County, Florida",37460
0500000US12127,"Volusia County, Florida",43838
0500000US12129,"Wakulla County, Florida",57866
0500000US12131,"Walton County, Florida",50619
0500000US12133,"Washington County, Florida",36989
0500000US13001,"Appling County, Georgia",37089
0500000US13003,"Atkinson County, Georgia",33063
0500000US13005,"Bacon County, Georgia",38824
0500000US13007,"Baker County, Georgia",43867
0500000US13009,"Baldwin County, Georgia",37008
0500000US13011,"Banks County, Georgia",42182
0500000US13013,"Barrow County, Georgia",56119
0500000US13015,"Bartow County, Georgia",52393
0500000US13017,"Ben Hill County, Georgia",32344
0500000US13019,"Berrien County, Georgia",38297
0500000US13021,"Bibb County, Georgia",38183
0500000US13023,"Bleckley County, Georgia",40688
0500000US13025,"Brantley County, Georgia",36812
0500000US13027,"Brooks County, Georgia",34890
0500000US13029,"Bryan County, Georgia",68589
0500000US13031,"Bulloch County, Georgia",39305
0500000US13033,"Burke County, Georgia",38707
0500000US13035,"Butts County, Georgia",39655
0500000US13037,"Calhoun County, Georgia",29617
0500000US13039,"Camden County, Georgia",53687
0500000US13043,"Candler County, Georgia",33125
0500000US13045,"Carroll County, Georgia",46844
0500000US13047,"Catoosa County, Georgia",54537
0500000US13049,"Charlton County, Georgia",43257
0500000US13051,"Chatham County, Georgia",52215
0500000US13053,"Chattahoochee County, Georgia",46096
0500000US13055,"Chattooga County, Georgia",35718
0500000US13057,"Cherokee County, Georgia",75477
0500000US13059,"Clarke County, Georgia",34557
0500000US13061,"Clay County, Georgia",23315
0500000US13063,"Clayton County, Georgia",44106
0500000US13065,"Clinch County, Georgia",21838
0500000US13067,"Cobb County, Georgia",72004
0500000US13069,"Coffee County, Georgia",36572
0500000US13071,"Colquitt County, Georgia",34503
0500000US13073,"Columbia County, Georgia",74162
0500000US13075,"Cook County, Georgia",35539
0500000US13077,"Coweta County, Georgia",67570
0500000US13079,"Crawford County, Georgia",41032
0500000US13081,"Crisp County, Georgia",33194
0500000US13083,"Dade County, Georgia",43163
0500000US13085,"Dawson County, Georgia",62284
0500000US13087,"Decatur County, Georgia",36934
0500000US13089,"DeKalb County, Georgia",55876
0500000US13091,"Dodge County, Georgia",35290
0500000US13093,"Dooly County, Georgia",33389
0500000US13095,"Dougherty County, Georgia",34541
0500000US13097,"Douglas County, Georgia",59333
0500000US13099,"Early County, Georgia",29493
0500000US13101,"Echols County, Georgia",34315
0500000US13103,"Effingham County, Georgia",64279
0500000US13105,"Elbert County, Georgia",35207
0500000US13107,"Emanuel County, Georgia",33089
0500000US13109,"Evans County, Georgia",38736
0500000US13111,"Fannin County, Georgia",43344
0500000US13113,"Fayette County, Georgia",84861
0500000US13115,"Floyd County, Georgia",46096
0500000US13117,"Forsyth County, Georgia",96445
0500000US13119,"Franklin County, Georgia",39246
0500000US13121,"Fulton County, Georgia",61336
0500000US13123,"Gilmer County, Georgia",46211
0500000US13125,"Glascock County, Georgia",45273
0500000US13127,"Glynn County, Georgia",47546
0500000US13129,"Gordon County, Georgia",43452
0500000US13131,"Grady County, Georgia",39462
0500000US13133,"Greene County, Georgia",45069
0500000US13135,"Gwinnett County, Georgia",64496
0500000US13137,"Habersham County, Georgia",44474
0500000US13139,"Hall County, Georgia",55622
0500000US13141,"Hancock County, Georgia",29268
0500000US13143,"Haralson County, Georgia",43663
0500000US13145,"Harris County, Georgia",69539
0500000US13147,"Hart County, Georgia",41216
0500000US13149,"Heard County, Georgia",44897
0500000US13151,"Henry County, Georgia",64752
0500000US13153,"Houston County, Georgia",55965
0500000US13155,"Irwin County, Georgia",34677
0500000US13157,"Jackson County, Georgia",57999
0500000US13159,"Jasper County, Georgia",42067
0500000US13161,"Jeff Davis County, Georgia",37267
0500000US13163,"Jefferson County, Georgia",29640
0500000US13165,"Jenkins County, Georgia",27197
0500000US13167,"Johnson County, Georgia",36423
0500000US13169,"Jones County, Georgia",55110
0500000US13171,"Lamar County, Georgia",41157
0500000US13173,"Lanier County, Georgia",31109
0500000US13175,"Laurens County, Georgia",35202
0500000US13177,"Lee County, Georgia",65018
0500000US13179,"Liberty County, Georgia",43493
0500000US13181,"Lincoln County, Georgia",37711
0500000US13183,"Long County, Georgia",53083
0500000US13185,"Lowndes County, Georgia",39911
0500000US13187,"Lumpkin County, Georgia",43039
0500000US13189,"McDuffie County, Georgia",40469
0500000US13191,"McIntosh County, Georgia",43285
0500000US13193,"Macon County, Georgia",30851
0500000US13195,"Madison County, Georgia",47653
0500000US13197,"Marion County, Georgia",39015
0500000US13199,"Meriwether County, Georgia",36368
0500000US13201,"Miller County, Georgia",37255
0500000US13205,"Mitchell County, Georgia",34122
0500000US13207,"Monroe County, Georgia",50666
0500000US13209,"Montgomery County, Georgia",40308
0500000US13211,"Morgan County, Georgia",59572
0500000US13213,"Murray County, Georgia",41617
0500000US13215,"Muscogee County, Georgia",43239
0500000US13217,"Newton County, Georgia",52784
0500000US13219,"Oconee County, Georgia",77388
0500000US13221,"Oglethorpe County, Georgia",43938
0500000US13223,"Paulding County, Georgia",63669
0500000US13225,"Peach County, Georgia",43645
0500000US13227,"Pickens County, Georgia",61542
0500000US13229,"Pierce County, Georgia",39863
0500000US13231,"Pike County, Georgia",52377
0500000US13233,"Polk County, Georgia",40652
0500000US13235,"Pulaski County, Georgia",38750
0500000US13237,"Putnam County, Georgia",48340
0500000US13239,"Quitman County, Georgia",26750
0500000US13241,"Rabun County, Georgia",39297
0500000US13243,"Randolph County, Georgia",30640
